Date,asset1,holdings1,cash1,total asset1,return1,positions1,asset2,holdings2,cash2,total asset2,return2,positions2,z,total asset,z upper limit,z lower limit
2014-07-29,4.445000171661377,-16819.88064956665,36687.44122695923,19867.560577392578,-0.0028488447177805742,0.0,3.7899999618530273,16262.88983631134,8285.571964263916,24548.461800575256,0.010598976278471728,0.0,-0.504769494176148,44416.022377967834,0.45594600925079265,-0.37031754716565835
2014-07-30,4.519999980926514,-17103.679927825928,36687.44122695923,19583.7612991333,-0.014284555829275458,0.0,3.819999933242798,16391.619713544846,8285.571964263916,24677.19167780876,0.005243908081869586,0.0,-0.5302604271103621,44260.95297694206,0.45594600925079265,-0.37031754716565835
2014-07-31,4.375,0.0,20132.44122695923,20132.44122695923,0.028017086168743877,1.0,3.9100000858306885,0.0,25063.3823325634,25063.3823325634,0.015649700330444105,-1.0,-0.12273805837914867,45195.82355952263,0.45594600925079265,-0.37031754716565835
2014-08-01,4.422500133514404,0.0,20132.44122695923,20132.44122695923,0.0,0.0,3.9700000286102295,0.0,25063.3823325634,25063.3823325634,0.0,0.0,-0.03964080114507546,45195.82355952263,0.45594600925079265,-0.37031754716565835
2014-08-04,4.412499904632568,0.0,20132.44122695923,20132.44122695923,0.0,0.0,4.0,0.0,25063.3823325634,25063.3823325634,0.0,0.0,0.046056439955544176,45195.82355952263,0.45594600925079265,-0.37031754716565835
2014-08-05,4.414999961853027,0.0,20132.44122695923,20132.44122695923,0.0,0.0,4.079999923706055,0.0,25063.3823325634,25063.3823325634,0.0,0.0,0.2364287552824889,45195.82355952263,0.45594600925079265,-0.37031754716565835
2014-08-06,4.409999847412109,0.0,20132.44122695923,20132.44122695923,0.0,0.0,4.119999885559082,0.0,25063.3823325634,25063.3823325634,0.0,0.0,0.33979069743339924,45195.82355952263,0.45594600925079265,-0.37031754716565835
2014-08-07,4.364999771118164,0.0,20132.44122695923,20132.44122695923,0.0,0.0,4.099999904632568,0.0,25063.3823325634,25063.3823325634,0.0,0.0,0.3502444409653108,45195.82355952263,0.45594600925079265,-0.37031754716565835
2014-08-08,4.75,0.0,20132.44122695923,20132.44122695923,0.0,0.0,4.119999885559082,0.0,25063.3823325634,25063.3823325634,0.0,0.0,-0.10496199870594015,45195.82355952263,0.45594600925079265,-0.37031754716565835
2014-08-11,4.724999904632568,0.0,20132.44122695923,20132.44122695923,0.0,0.0,4.139999866485596,0.0,25063.3823325634,25063.3823325634,0.0,0.0,-0.02384882722428762,45195.82355952263,0.45594600925079265,-0.37031754716565835
2014-08-12,4.724999904632568,0.0,20132.44122695923,20132.44122695923,0.0,0.0,4.079999923706055,0.0,25063.3823325634,25063.3823325634,0.0,0.0,-0.16908079906572754,45195.82355952263,0.45594600925079265,-0.37031754716565835
2014-08-13,4.752500057220459,0.0,20132.44122695923,20132.44122695923,0.0,0.0,4.110000133514404,0.0,25063.3823325634,25063.3823325634,0.0,0.0,-0.1324370640405967,45195.82355952263,0.45594600925079265,-0.37031754716565835
2014-08-14,4.699999809265137,0.0,20132.44122695923,20132.44122695923,0.0,0.0,4.079999923706055,0.0,25063.3823325634,25063.3823325634,0.0,0.0,-0.13637828486455714,45195.82355952263,0.45594600925079265,-0.37031754716565835
2014-08-15,4.760000228881836,0.0,20132.44122695923,20132.44122695923,0.0,0.0,4.130000114440918,0.0,25063.3823325634,25063.3823325634,0.0,0.0,-0.09383734814504228,45195.82355952263,0.45594600925079265,-0.37031754716565835
2014-08-18,4.824999809265137,0.0,20132.44122695923,20132.44122695923,0.0,0.0,4.210000038146973,0.0,25063.3823325634,25063.3823325634,0.0,0.0,0.014779617301842112,45195.82355952263,0.45594600925079265,-0.37031754716565835
2014-08-19,4.84250020980835,0.0,20132.44122695923,20132.44122695923,0.0,0.0,4.269999980926514,0.0,25063.3823325634,25063.3823325634,0.0,0.0,0.1371193925784579,45195.82355952263,0.45594600925079265,-0.37031754716565835
2014-08-20,4.8125,0.0,20132.44122695923,20132.44122695923,0.0,0.0,4.28000020980835,0.0,25063.3823325634,25063.3823325634,0.0,0.0,0.20056844011037517,45195.82355952263,0.45594600925079265,-0.37031754716565835
2014-08-21,4.767499923706055,0.0,20132.44122695923,20132.44122695923,0.0,0.0,4.239999771118164,0.0,25063.3823325634,25063.3823325634,0.0,0.0,0.16261037216069485,45195.82355952263,0.45594600925079265,-0.37031754716565835
2014-08-22,4.769999980926514,0.0,20132.44122695923,20132.44122695923,0.0,0.0,4.25,0.0,25063.3823325634,25063.3823325634,0.0,0.0,0.18354596410651614,45195.82355952263,0.45594600925079265,-0.37031754716565835
2014-08-25,4.777500152587891,0.0,20132.44122695923,20132.44122695923,0.0,0.0,4.179999828338623,0.0,25063.3823325634,25063.3823325634,0.0,0.0,0.004297145139354173,45195.82355952263,0.45594600925079265,-0.37031754716565835
2014-08-26,4.862500190734863,0.0,20132.44122695923,20132.44122695923,0.0,0.0,4.190000057220459,0.0,25063.3823325634,25063.3823325634,0.0,0.0,-0.08268512315468421,45195.82355952263,0.45594600925079265,-0.37031754716565835
2014-08-27,4.807499885559082,0.0,20132.44122695923,20132.44122695923,0.0,0.0,4.159999847412109,0.0,25063.3823325634,25063.3823325634,0.0,0.0,-0.0833560301836673,45195.82355952263,0.45594600925079265,-0.37031754716565835
2014-08-28,4.847499847412109,0.0,20132.44122695923,20132.44122695923,0.0,0.0,4.139999866485596,0.0,25063.3823325634,25063.3823325634,0.0,0.0,-0.18409046068658952,45195.82355952263,0.45594600925079265,-0.37031754716565835
2014-08-29,4.862500190734863,0.0,20132.44122695923,20132.44122695923,0.0,0.0,4.170000076293945,0.0,25063.3823325634,25063.3823325634,0.0,0.0,-0.13109578043516418,45195.82355952263,0.45594600925079265,-0.37031754716565835
